,Unnamed: 0.1,Unnamed: 0,id,author,title,location,city,price,no_of_bedrooms,no_of_bathrooms,no_of_floor,parking_area,facing_side,built_date,area1,area2,area3,area_formating,road_width,purpose,property_type,latitude,longitude
2098,2098,2098,2099,1,"Apartment For Rent In Bishal Nagar, Kathmandu","Central park, Bishal Nagar, Kathmandu",Kathmandu,95000.0,2,2,0.0,0,North,01/01/2075,0.0,0.0,0.0,HM,20 Feet,RT,H,85.312502,27.699603
2099,2099,2099,2100,1,"Land For Sale In Thankot, Kathmandu","Chandragiri, Thankot, Kathmandu",Kathmandu,1750000.0,0,0,0.0,0,South East,01/01/2075,8.0,0.0,0.0,HM,20 Feet,RT,L,85.21582417,27.6956101
2100,2100,2100,2101,1,"House For Sale In Dhumbarahi, Kathmandu","Dhumbarahi Main chowk, Dhumbarahi, Kathmandu",Kathmandu,55000000.0,0,0,2.0,0,West,01/01/2075,0.0,4.0,0.0,HM,20 Feet,SL,H,0.0,0.0
2101,2101,2101,2102,1,"Land For Sale In Chundevi, Kathmandu","Chundevi, Chundevi, Kathmandu",Kathmandu,6000000.0,0,0,0.0,0,South East,01/01/2075,0.0,4.0,0.0,HM,12 Feet,RT,L,85.34367247,27.73203045
2102,2102,2102,2103,1,"Office Space For Rent In Nag Pokhari, Kathmandu","Nag pokhri, Nag Pokhari, Kathmandu",Kathmandu,270000.0,0,0,0.0,0,South East,01/01/2075,0.0,0.0,0.0,HM,20 Feet,RT,H,85.324301,27.713475
2103,2103,2103,2104,1,"Land For Sale In Bhangal, Kathmandu","Bhangal, Bhangal, Kathmandu",Kathmandu,1600000.0,0,0,0.0,0,South East,01/01/2075,2.0,0.0,0.0,HM,15 Feet,RT,L,76.8133153,32.3229291
2104,2104,2104,2105,1,"Land For Sale In Budhanilkantha, Kathmandu","Washi, Budhanilkantha, Kathmandu",Kathmandu,2100000.0,0,0,0.0,0,East,01/01/2075,1.0,0.0,0.0,HM,15 Feet,RT,L,85.362324,27.778087
2105,2105,2105,2106,1,"Land For Sale In Budhanilkantha, Kathmandu","Siddhartha Colony, Budhanilkantha, Kathmandu",Kathmandu,2600000.0,0,0,0.0,0,North East,01/01/2075,0.0,4.0,0.0,HM,20 Feet,RT,L,85.33218,27.70704
2106,2106,2106,2107,1,"Land For Sale In Dakshinkali, Kathmandu","Dakshinkali, Dakshinkali, Kathmandu",Kathmandu,3200000.0,0,0,0.0,0,South East,01/01/2075,2.0,0.0,0.0,HM,0 Feet,RT,L,85.266627,27.6100965
2107,2107,2107,2108,1,"Land For Sale In Budhanilkantha, Kathmandu","Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,2500000.0,0,0,0.0,0,South East,01/01/2075,0.0,5.0,0.0,HM,12 Feet,RT,L,85.363258,27.777309
2108,2108,2108,2109,1,"House For Sale In Dhapasi, Kathmandu","Near grande hospital, Dhapasi, Kathmandu",Kathmandu,26000000.0,4,3,3.0,0,West,01/01/2075,0.0,5.0,0.0,HM,15 Feet,SL,H,85.314744,27.711016
2109,2109,2109,2110,1,"Land For Sale In Putalisadak, Kathmandu","Near Star Mall, Putalisadak, Kathmandu",Kathmandu,5100000.0,0,0,0.0,0,East,01/01/2075,0.0,3.0,2.0,HM,13 Feet,RT,L,85.33218,27.70704
2110,2110,2110,2111,1,"House For Rent In Naxal, Kathmandu","Near bhatbhaten, Naxal, Kathmandu",Kathmandu,400000.0,0,0,0.0,0,South,01/01/2075,0.0,24.0,0.0,HM,20 Feet,RT,H,85.32832,27.7156
2111,2111,2111,2112,1,"Office Space For Rent In Hadigaun, Kathmandu","Near Tangal, Hadigaun, Kathmandu",Kathmandu,160000.0,4,3,3.0,1,South,01/01/2075,0.0,20.0,0.0,HM,15 Feet,RT,H,0.0,0.0
2112,2112,2112,2113,1,"House For Sale In Harisiddhi, Lalitpur","Harisiddhi, Harisiddhi, Lalitpur",Lalitpur,33000000.0,8,7,3.5,2,East,01/01/2075,7.0,1.0,0.0,HM,10 Feet,SL,H,85.3403989,27.63689875
2113,2113,2113,2114,1,"House For Rent In Grande Villa, Kathmandu","Tokha, Grande Villa, Kathmandu",Kathmandu,45000.0,4,3,2.0,1,East,01/01/2075,0.0,4.0,0.0,HM,0 Feet,RT,H,-78.961464,33.699544
2114,2114,2114,2115,1,"House For Rent In Naxal, Kathmandu","Tangal, Naxal, Kathmandu",Kathmandu,250000.0,4,3,2.0,1,West,01/01/2075,0.0,24.0,0.0,HM,20 Feet,RT,H,85.325795,27.713588
2115,2115,2115,2116,1,"House For Rent In Baluwatar, Kathmandu","Near Russian Embassy, Baluwatar, Kathmandu",Kathmandu,525000.0,5,5,3.0,1,East,01/01/2075,0.0,0.0,0.0,HM,16 Feet,RT,H,85.33218,27.70704
